AccountId,TotalUsers,MRR,QttUserReference,QttUserWithAlerts,TotalAlerts,AlertDescription,UsersWithAlertPerc
d1f6f86c-029a-4245-bb91-433a6aa79987,10,925,10,7,13,Complaints,70.0
d1f6f86c-029a-4245-bb91-433a6aa79987,10,925,10,1,8,Overall Product Usage,10.0
d1f6f86c-029a-4245-bb91-433a6aa79987,10,925,1,0,1,New Feature Usage,0.0
452ec40a-3193-4a54-ae89-71105e503a67,19,496,19,6,16,Complaints,31.57894736842105
452ec40a-3193-4a54-ae89-71105e503a67,19,496,19,11,62,Overall Product Usage,57.89473684210527
452ec40a-3193-4a54-ae89-71105e503a67,19,496,11,5,0,New Feature Usage,45.45454545454545
dfc9e3b1-1fcf-4454-9f81-1cb929645f8b,14,317,14,8,15,Complaints,57.14285714285714
dfc9e3b1-1fcf-4454-9f81-1cb929645f8b,14,317,14,8,42,Overall Product Usage,57.14285714285714
dfc9e3b1-1fcf-4454-9f81-1cb929645f8b,14,317,8,2,0,New Feature Usage,25.0
9c9cea0c-2ca1-4789-a091-250e8fe46024,18,241,18,2,19,Complaints,11.11111111111111
9c9cea0c-2ca1-4789-a091-250e8fe46024,18,241,18,2,74,Overall Product Usage,11.11111111111111
9c9cea0c-2ca1-4789-a091-250e8fe46024,18,241,2,0,1,New Feature Usage,0.0
bb9d58e4-f543-4bcf-bcf7-4d7a5adad121,3,593,3,0,0,Complaints,0.0
bb9d58e4-f543-4bcf-bcf7-4d7a5adad121,3,593,3,0,0,Overall Product Usage,0.0
bb9d58e4-f543-4bcf-bcf7-4d7a5adad121,3,593,0,0,1,New Feature Usage,0.0
95c5fb98-6980-481f-bc42-8d42fa882692,17,220,17,8,13,Complaints,47.05882352941176
95c5fb98-6980-481f-bc42-8d42fa882692,17,220,17,1,88,Overall Product Usage,5.88235294117647
95c5fb98-6980-481f-bc42-8d42fa882692,17,220,1,1,0,New Feature Usage,100.0
13ed748b-b80e-4b0d-b4a9-af4125ece845,7,907,7,6,20,Complaints,85.71428571428571
13ed748b-b80e-4b0d-b4a9-af4125ece845,7,907,7,1,2,Overall Product Usage,14.285714285714285
13ed748b-b80e-4b0d-b4a9-af4125ece845,7,907,1,1,0,New Feature Usage,100.0
7576714a-0605-4c82-9271-22dc57708107,11,77,11,1,16,Complaints,9.090909090909092
7576714a-0605-4c82-9271-22dc57708107,11,77,11,7,44,Overall Product Usage,63.63636363636363
